	CODIGOINTERNOMUNI	MUNI	SED_01	SED_05	SED_02	SED_04	SED_03	SED_06	SED_07	SED_08	SED_09	SED_10	SED_11	SED_12	SED_13	SED_14	SED_15	TIC_01	TIC_02	TIC_03_1	TIC_03_0	TIC_04_1	TIC_04_0	TIC_05_1	TIC_05_0	TIC_06_1	TIC_06_0	TIC_07_1	TIC_07_0	TIC_08_1	TIC_08_0	TIC_10_1	TIC_10_0	TIC_11_1	TIC_11_0	SED_16	SED_17	SED_18	SED_19	SED_20	SED_21	SED_23	SED_24
669	66001	Pereira	8449.0	5310.0	35826.0	2562.0	22169.0	18268.0	6	92584	10089.0	34495.0	28835.0	10275.0	8890.0	0.016395921541519053	0.983604078458481	0.21951650778609283	0.14231577411936308	316.0	5.0	257.0	64.0	227.0	94.0	118.0	203.0	122.0	199	314.0	7.0	296.0	25.0	66.0	255.0	321	187.0	134.0	0.5825545171339563	9.0	0.028037383177570093	103.0	73
670	15542	Pesca	0.0	0.0	555.0	0.0	0.0	737.0	2	1292	90.0	592.0	459.0	151.0	0.0		1.0	0.3471499344990319	0.6175289798719653	21.0	1.0	13.0	9.0	0.0	22.0	1.0	21.0	3.0	19	20.0	2.0	22.0	0.0	2.0	20.0	22	2.0	20.0	0.09090909090909091			19.0	3
671	5541	Peñol	26.0	210.0	1652.0	0.0	942.0	617.0	5	3447	284.0	1468.0	1075.0	410.0	210.0		1.0	0.2296018240210069	0.1328382974005092	24.0	0.0	12.0	12.0	3.0	21.0	4.0	20.0	2.0	22	7.0	17.0	19.0	5.0	5.0	19.0	24	2.0	22.0	0.08333333333333333	1.0	0.041666666666666664	20.0	3
672	19533	Piamonte	0.0	0.0	1795.0	0.0	0.0	75.0	2	1870	155.0	1087.0	511.0	117.0	0.0		1.0	0.18754072826503013	0.6327884615384616	26.0	25.0	13.0	38.0	1.0	50.0	2.0	49.0	2.0	49	3.0	48.0	23.0	28.0	3.0	48.0	51	1.0	50.0	0.0196078431372549			45.0	6
673	68547	Piedecuesta	2134.0	1198.0	19455.0	607.0	10465.0	997.0	6	34856	3685.0	14169.0	11102.0	3844.0	2056.0	0.007057608446178564	0.9929423915538215	0.1827707200887432	0.19283782237335975	118.0	5.0	71.0	52.0	61.0	62.0	30.0	93.0	47.0	76	80.0	43.0	109.0	14.0	16.0	107.0	123	47.0	76.0	0.3821138211382114			63.0	17
674	73547	Piedras	0.0	0.0	767.0	0.0	0.0	238.0	2	1005	78.0	439.0	378.0	110.0	0.0		1.0	0.2559767790887286	0.7002756521707831	8.0	0.0	3.0	5.0	1.0	7.0	0.0	8.0	0.0	8	6.0	2.0	8.0	0.0	1.0	7.0	8	2.0	6.0	0.25			6.0	2
675	19548	Piendamó - Tunía	0.0	400.0	7242.0	0.0	718.0	0.0	3	8360	741.0	3523.0	2721.0	901.0	474.0		1.0	0.1435543737298637	0.12384748995286947	56.0	0.0	29.0	27.0	4.0	52.0	3.0	53.0	5.0	51	21.0	35.0	44.0	12.0	5.0	51.0	56	11.0	45.0	0.19642857142857142	6.0	0.10714285714285714	33.0	19
676	63548	Pijao	0.0	251.0	202.0	0.0	0.0	954.0	3	1407	71.0	426.0	480.0	179.0	251.0		1.0	0.20207357805267212	1.0551329447071003	22.0	0.0	9.0	13.0	1.0	21.0	2.0	20.0	4.0	18	7.0	15.0	21.0	1.0	6.0	16.0	22	3.0	19.0	0.13636363636363635	1.0	0.045454545454545456	18.0	4
677	47545	Pijiño del Carmen	0.0	51.0	4135.0	495.0	0.0	0.0	3	4681	414.0	2019.0	1319.0	383.0	546.0		1.0	0.10015184510760133	0.2215989762399295	19.0	14.0	11.0	22.0	0.0	33.0	5.0	28.0	4.0	29	7.0	26.0	15.0	18.0	4.0	29.0	33	3.0	30.0	0.09090909090909091			24.0	7
678	68549	Pinchote	0.0	21.0	682.0	0.0	0.0	0.0	2	703	38.0	281.0	276.0	87.0	21.0	0.029871977240398292	0.9701280227596017	0.5649543021432019	1.2637741046831956	11.0	1.0	4.0	8.0	0.0	12.0	0.0	12.0	0.0	12	4.0	8.0	12.0	0.0	2.0	10.0	12	2.0	10.0	0.16666666666666666			10.0	1
679	13549	Pinillos	0.0	160.0	5075.0	0.0	1274.0	0.0	3	6509	512.0	3029.0	2175.0	633.0	160.0		1.0	0.10785188796880849	0.41076516218670717	30.0	10.0	14.0	26.0	0.0	40.0	2.0	38.0	1.0	39	10.0	30.0	34.0	6.0	14.0	26.0	40	2.0	38.0	0.05	1.0	0.025	31.0	9
